NAZIONALITA,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore,codice_rischio
alb,mxp,dxb,2024-02-18 15:55:00,milano,dubai,emirati arabi uniti,2,1,1,0,visto,f,46-60,singola tratta,emirates,ek0091,,,
alb,mxp,ssh,2024-02-03 00:00:00,milano,sharm el sheikh,egitto,2,1,1,1,permesso di soggiorno,f,18-30,singola tratta,easyjet europe,ec3892,segnalato,,
alb,tsf,tia,2024-01-26 06:50:00,treviso,tirana,albania,4,74,74,4,visto,m,46-60,singola tratta,wizz air malta,w43851,respinto,,
ago,fco,lad,2024-01-15 00:05:00,roma,luanda,angola,5,2,0,0,passaporto,f,31-45,singola tratta,ethiopian airlines,et0726,ok,,
alb,vrn,tia,2024-02-05 19:55:00,verona,tirana,albania,4,125,125,24,permesso di soggiorno,m,61+,singola tratta,wizz air malta,w43849,ok,,
alb,fco,mia,2024-01-10 20:00:00,roma,miami,stati uniti,5,1,1,0,visto,m,46-60,singola tratta,ita airways,az0631,fermato,,
alb,vce,ssh,2024-01-09 10:40:00,venezia,sharm el sheikh,egitto,4,1,1,1,,m,31-45,singola tratta,wizz air malta,w45462,segnalato,,
alb,trn,tia,2024-02-21 07:10:00,torino,tirana,albania,1,110,110,14,,f,61+,singola tratta,wizz air malta,w46603,segnalato,,
alb,mxp,auh,2024-02-05 14:45:00,milano,abu dhabi,emirati arabi uniti,2,1,1,0,permesso di soggiorno,f,,singola tratta,etihad airways,ey0079,,,
alb,mxp,dxb,2024-02-08 00:00:00,milano,dubai,emirati arabi uniti,2,1,1,0,,f,0-17,singola tratta,emirates,ek0205,segnalato,,
alb,fco,kut,2024-01-06 17:25:00,roma,kutaisi,georgia,5,1,1,1,permesso di soggiorno,m,46-60,singola tratta,wizz air hungary,w66419,ok,,
alb,mxp,hkt,2024-02-22 02:20:00,milano,phuket,thailandia,2,1,1,1,passaporto,f,61+,singola tratta,qatar airways,qr0123,fermato,,
alb,trs,tia,2024-02-11 16:55:00,trieste,tirana,albania,4,7,0,0,,f,31-45,singola tratta,ita airways,az0585,segnalato,,
alb,fco,lgw,2024-02-14 16:40:00,roma,londra,regno unito,5,1,1,0,carta d'identità,,31-45,singola tratta,easyjet,u28329,,,
alb,vrn,tia,2024-02-14 19:55:00,verona,tirana,albania,4,116,116,13,,f,18-30,singola tratta,wizz air malta,w43849,fermato,,
alb,mxp,mel,2024-01-15 15:55:00,milano,melbourne,australia,2,1,1,0,carta d'identità,m,,singola tratta,emirates,ek0091,ok,,
afg,nap,ika,2024-01-22 08:00:00,napoli,tehran,iran,6,1,1,0,carta d'identità,m,46-60,singola tratta,turkish airlines,tk1453,respinto,,
alb,bri,tia,2024-02-21 20:55:00,bari,tirana,albania,9,30,30,5,visto,m,31-45,singola tratta,wizz air malta,w46647,fermato,,
alb,cta,tia,2024-02-17 08:20:00,catania,tirana,albania,7,56,56,3,carta d'identità,m,18-30,singola tratta,ryanair dac,fr8370,ok,,
alb,blq,lhr,2024-02-13 18:10:00,bologna,londra,regno unito,8,1,1,0,passaporto,m,18-30,singola tratta,british airways,ba0544,in attesa,,
alb,trs,tia,2024-01-27 16:20:00,trieste,tirana,albania,4,78,78,11,,f,31-45,singola tratta,wizz air malta,w44835,ok,,
alb,bgy,tia,2024-01-09 14:55:00,bergamo,tirana,albania,2,80,80,11,permesso di soggiorno,m,46-60,singola tratta,wizz air malta,w43869,segnalato,,
,psa,tia,2024-02-08 21:50:00,pisa,tirana,albania,8,104,104,12,carta d'identità,f,61+,singola tratta,ryanair dac,fr8391,respinto,,
alb,blq,tia,2024-01-30 11:50:00,bologna,tirana,albania,8,42,42,10,,f,0-17,singola tratta,wizz air malta,w43877,,,
alb,fco,jfk,2024-01-15 21:00:00,roma,new york,stati uniti,5,2,2,0,carta d'identità,f,0-17,singola tratta,ita airways,az0611,,,
alb,blq,tia,2024-01-27 11:30:00,bologna,tirana,albania,8,77,77,10,carta d'identità,,31-45,singola tratta,wizz air malta,w43877,respinto,,
alb,mxp,tia,2024-01-09 12:55:00,milano,tirana,albania,2,103,103,20,visto,m,0-17,singola tratta,air albania,zb2003,ok,,
alb,bri,tia,2024-01-16 00:00:00,bari,tirana,albania,9,41,41,4,passaporto,m,61+,singola tratta,wizz air malta,w46601,fermato,,
alb,tsf,tia,2024-01-09 06:50:00,treviso,tirana,albania,4,84,84,15,passaporto,f,,singola tratta,wizz air malta,w43851,fermato,,
,fco,auh,2024-01-12 21:05:00,roma,abu dhabi,emirati arabi uniti,5,4,4,0,,f,46-60,singola tratta,wizz air malta,w47049,,,
afg,blq,ist,2024-01-30 09:25:00,bologna,istanbul,turchia,8,1,1,1,visto,,61+,singola tratta,turkish airlines,tk-1321,ok,,
,cta,ltn,2024-01-26 07:30:00,catania,londra,regno unito,7,1,1,0,passaporto,m,31-45,singola tratta,easyjet,u22491,,,
alb,bri,stn,2024-02-21 09:50:00,bari,londra,regno unito,9,1,1,0,,f,0-17,singola tratta,ryanair dac,fr1905,respinto,,
alb,mxp,stn,2024-02-01 07:15:00,milano,londra,regno unito,2,1,1,0,visto,m,31-45,singola tratta,ryanair dac,fr2757,segnalato,,
alb,vrn,rmf,2024-01-08 00:40:00,verona,marsa alam,egitto,4,1,4,0,permesso di soggiorno,m,0-17,singola tratta,neos s.p.a.,no7027,in attesa,,
alb,blq,gzt,2024-02-03 00:00:00,bologna,gaziantep,turchia,8,3,3,1,permesso di soggiorno,m,0-17,singola tratta,turkish airlines,tk1323,in attesa,,
alb,bgy,saw,2024-02-10 17:25:00,bergamo,istanbul,turchia,2,2,2,0,,f,61+,singola tratta,pegasus airlines,pc7211,ok,,
alb,fco,elq,2024-01-06 10:20:00,roma,buraidah,arabia saudita,5,1,1,0,permesso di soggiorno,,18-30,singola tratta,saudi arabian airlines,sv0201,in attesa,,
alb,goa,tia,2024-02-23 21:00:00,genova,tirana,albania,1,120,120,124,passaporto,f,31-45,singola tratta,wizz air malta,w46637,segnalato,,
alb,fco,bhx,2024-01-08 07:15:00,roma,birmingham,regno unito,5,1,9999,0,carta d'identità,f,61+,singola tratta,jet2.com,ls1227,respinto,,
alb,blq,tia,2024-01-25 11:30:00,bologna,tirana,albania,8,,,,,f,0-17,singola tratta,wizz air malta,w43877,,,
alb,cia,stn,2024-01-16 09:00:00,roma,londra,regno unito,5,1,1,0,,m,31-45,singola tratta,ryanair dac,fr2510,segnalato,,
alb,fco,cgk,2024-01-17 12:35:00,roma,giacarta,indonesia,5,1,1,0,visto,m,18-30,singola tratta,china eastern airlines,mu0787,segnalato,,
alb,fco,auh,2024-01-29 14:40:00,roma,abu dhabi,emirati arabi uniti,5,1,1,0,permesso di soggiorno,f,46-60,singola tratta,etihad airways,ey0083,respinto,,
alb,vce,tia,2024-01-04 12:30:00,venezia,tirana,albania,4,52,55,9,visto,m,18-30,singola tratta,albawings,2b0225,respinto,,
alb,fco,tia,2024-02-10 15:25:00,roma,tirana,albania,5,62,62,5,passaporto,m,46-60,singola tratta,wizz air malta,w46691,,,
alb,mxp,jfk,2024-01-15 17:00:00,milano,new york,stati uniti,2,2,2,1,,,46-60,singola tratta,neos s.p.a.,no0789,,,
alb,tsf,tia,2024-01-28 06:50:00,treviso,tirana,albania,4,105,105,7,,f,31-45,singola tratta,wizz air malta,w43851,,,
alb,psa,tia,2024-01-23 07:10:00,pisa,tirana,albania,8,74,74,16,passaporto,m,31-45,singola tratta,wizz air malta,w43853,respinto,,
alb,trn,stn,2024-01-10 09:25:00,torino,londra,regno unito,1,,,,passaporto,m,0-17,singola tratta,ryanair dac,fr0464,fermato,,
alb,mxp,ist,2024-02-11 12:35:00,milano,istanbul,turchia,2,1,1,0,permesso di soggiorno,f,0-17,singola tratta,turkish airlines,tk1895,ok,,
afg,mxp,kbl,2024-01-20 15:55:00,milano,kabul,afghanistan,2,1,1,0,,m,18-30,singola tratta,emirates,ek0091,,,
afg,fco,ist,2024-02-22 00:00:00,roma,istanbul,turchia,5,1,1,2,carta d'identità,m,46-60,singola tratta,turkish airlines,tk1863,in attesa,,
alb,bds,tia,2024-02-23 20:50:00,brindisi,tirana,albania,9,29,29,6,passaporto,,46-60,singola tratta,wizz air malta,w44817,,,
alb,psr,tia,2024-02-29 11:15:00,pescara,tirana,albania,9,113,113,17,passaporto,,18-30,singola tratta,wizz air malta,w43863,,,
alb,blq,tia,2024-01-06 20:45:00,bologna,tirana,albania,8,112,112,23,,m,,singola tratta,wizz air malta,w43847,,,
alb,bri,lhr,2024-02-21 00:00:00,bari,londra,regno unito,9,1,1,0,visto,f,0-17,singola tratta,ita airways,az0229,segnalato,,
alb,fco,saw,2024-01-21 12:30:00,roma,istanbul,turchia,5,3,3,0,,f,31-45,singola tratta,turkish airlines,tk7660,fermato,,
alb,bgy,stn,2024-01-06 05:45:00,bergamo,londra,regno unito,2,5,5,0,,f,18-30,singola tratta,ryanair dac,fr2696,segnalato,,
alb,blq,lhr,2024-02-05 20:20:00,bologna,londra,regno unito,8,1,1,2,passaporto,f,31-45,singola tratta,british airways,ba 0544,ok,,
alb,bgy,man,2024-01-09 11:35:00,bergamo,manchester,regno unito,2,1,1,0,visto,,18-30,singola tratta,ryanair dac,fr3216,fermato,,
alb,mxp,tia,2024-01-02 19:50:00,milano,tirana,albania,2,49,49,8,permesso di soggiorno,m,0-17,singola tratta,wizz air malta,w46609,ok,,
alb,psa,tia,2024-02-06 00:00:00,pisa,tirana,albania,8,95,95,24,visto,m,18-30,singola tratta,ryanair dac,fr8391,ok,,
alb,fco,cmn,2024-01-16 13:00:00,roma,casablanca,marocco,5,1,1,1,,m,46-60,singola tratta,royal air maroc,at0940,respinto,,
alb,bgy,bhx,2024-01-21 18:40:00,bergamo,birmingham,regno unito,2,2,2,0,,,0-17,singola tratta,ryanair dac,fr5103,,,
alb,fco,tia,2024-01-04 15:05:00,roma,tirana,albania,5,67,0,0,carta d'identità,m,46-60,singola tratta,wizz air malta,w46691,,,
alb,tsf,tia,2024-01-22 06:50:00,treviso,tirana,albania,4,47,47,11,visto,,46-60,singola tratta,wizz air malta,w43851,,,
afg,bgy,mhd,2024-01-24 18:00:00,bergamo,mashad,iran,2,1,1,1,passaporto,f,0-17,singola tratta,fly dubai,fz1571,respinto,,
alb,mxp,jfk,2024-02-10 22:20:00,milano,new york,stati uniti,2,1,1,0,carta d'identità,m,61+,singola tratta,emirates,ek0206,,,
alb,cuf,cmn,2024-01-27 14:15:00,cuneo,casablanca,marocco,1,1,1,0,carta d'identità,m,61+,singola tratta,air arabia maroc,3o0481,,,
,cta,tia,2024-01-17 13:25:00,catania,tirana,albania,7,27,27,4,,f,46-60,singola tratta,ryanair dac,fr8370,,,
alb,bgy,cai,2024-01-05 17:15:00,bergamo,cairo,egitto,2,3,3,1,permesso di soggiorno,f,0-17,singola tratta,air arabia egypt,e50544,,,
alb,mxp,jfk,2024-01-14 19:40:00,milano,new york,stati uniti,2,1,1,0,,f,18-30,singola tratta,delta air lines,dl0184,in attesa,,
alb,cia,stn,2024-01-25 17:00:00,roma,londra,regno unito,5,,,,passaporto,f,31-45,singola tratta,ryanair dac,fr3002,in attesa,,
alb,vce,tia,2024-01-14 12:30:00,venezia,tirana,albania,4,80,80,16,passaporto,f,18-30,singola tratta,albawings,2b0225,ok,,
alb,fco,tia,2024-01-15 15:50:00,roma,tirana,albania,5,50,50,7,,m,,singola tratta,wizz air malta,w43887,segnalato,,
alb,bgy,saw,2024-01-10 14:00:00,bergamo,istanbul,turchia,2,1,1,1,visto,m,0-17,singola tratta,pegasus airlines,pc1213,,,
alb,fco,dxb,2024-01-03 08:55:00,roma,dubai,emirati arabi uniti,5,4,4,0,visto,m,46-60,singola tratta,emirates,ek0097,in attesa,,
,bgy,tia,2024-01-29 17:10:00,bergamo,tirana,albania,2,85,85,21,permesso di soggiorno,m,46-60,singola tratta,ryanair dac,fr8356,,,
,fco,jed,2024-01-21 18:25:00,roma,jeddah,arabia saudita,5,1,0,0,passaporto,m,18-30,singola tratta,wizz air malta,w4-8350,in attesa,,
alb,flr,tia,2024-01-06 07:20:00,firenze,tirana,albania,8,99,99,21,carta d'identità,m,46-60,singola tratta,albawings,2b0267,ok,,
alb,fco,tia,2024-02-24 15:45:00,roma,tirana,albania,5,17,17,2,visto,m,31-45,singola tratta,ita airways,az0585,in attesa,,
alb,bgy,bhx,2024-02-01 18:05:00,bergamo,birmingham,regno unito,2,1,1,0,,f,31-45,singola tratta,ryanair dac,fr5103,segnalato,,
alb,blq,tia,2024-01-02 11:30:00,bologna,tirana,albania,8,116,116,20,permesso di soggiorno,f,61+,singola tratta,wizz air malta,w43877,segnalato,,
alb,bgy,lgw,2024-01-06 06:45:00,bergamo,londra,regno unito,2,5,5,1,visto,m,61+,singola tratta,easyjet,u2-8291,segnalato,,
alb,mxp,lgw,2024-01-18 17:35:00,milano,londra,regno unito,2,1,1,2,passaporto,,18-30,singola tratta,easyjet,u28311,in attesa,,
alb,lin,jfk,2024-02-11 16:35:00,milano,new york,stati uniti,2,1,0,0,,f,61+,singola tratta,ita airways,az0609,,,
alb,fco,rak,2024-01-13 10:20:00,roma,marrakech,marocco,5,1,1,0,passaporto,m,61+,singola tratta,wizz air malta,w48274,,,
alb,lin,lax,2024-01-13 18:35:00,milano,los angeles,stati uniti,2,1,1,0,carta d'identità,f,31-45,singola tratta,british airways,ba0570,,,
,bgy,saw,2024-01-26 13:35:00,bergamo,istanbul,turchia,2,1,1,0,,f,,singola tratta,pegasus airlines,pc1213,respinto,,
alb,bri,tia,2024-02-27 11:35:00,bari,tirana,albania,9,54,54,8,visto,f,46-60,singola tratta,wizz air malta,w46601,ok,,
alb,cta,tia,2024-02-09 13:10:00,catania,tirana,albania,7,64,64,2,passaporto,f,46-60,singola tratta,wizz air malta,w46605,segnalato,,
alb,rmi,tia,2024-01-27 00:00:00,rimini,tirana,albania,8,143,143,16,carta d'identità,m,61+,singola tratta,wizz air malta,w43875,,,
alb,trn,lgw,2024-02-24 15:35:00,torino,londra,regno unito,1,1,1,2,passaporto,f,,singola tratta,easyjet,u26407,segnalato,,
alb,fco,ist,2024-01-08 13:05:00,roma,istanbul,turchia,5,1,1,0,,m,61+,singola tratta,turkish airlines,tk1865,ok,,
afg,mxp,jed,2024-01-03 20:45:00,milano,jeddah,arabia saudita,2,1,1,0,carta d'identità,m,61+,singola tratta,wizz air malta,w45692,,,
alb,mxp,stn,2024-02-08 18:00:00,milano,londra,regno unito,2,3,3,0,,f,46-60,singola tratta,ryanair dac,fr8719,fermato,,
alb,tsf,tia,2024-01-11 06:50:00,treviso,tirana,albania,4,108,108,8,visto,,0-17,singola tratta,wizz air malta,w43851,segnalato,,
alb,trn,tia,2024-01-06 11:25:00,torino,tirana,albania,1,107,107,25,,f,31-45,singola tratta,wizz air malta,w46661,fermato,,
alb,blq,ist,2024-01-28 09:25:00,bologna,istanbul,turchia,8,1,1,0,permesso di soggiorno,m,0-17,singola tratta,turkish airlines,tk1321,segnalato,,
alb,psa,stn,2024-01-21 17:50:00,pisa,londra,regno unito,8,,,,,f,0-17,singola tratta,ryanair dac,fr0584,in attesa,,
alb,mxp,jed,2024-01-19 19:30:00,milano,jeddah,arabia saudita,2,1,1,0,visto,m,18-30,singola tratta,wizz air malta,w45692,segnalato,,
alb,vce,stn,2024-02-19 15:10:00,venezia,londra,regno unito,4,,,,,m,61+,singola tratta,ryanair dac,fr0794,segnalato,,
alb,bgy,tia,2024-02-19 08:25:00,bergamo,tirana,albania,2,81,81,15,,f,0-17,singola tratta,ryanair dac,fr8350,segnalato,,
alb,bds,tia,2024-01-29 21:00:00,brindisi,tirana,albania,9,24,24,2,passaporto,m,,singola tratta,wizz air malta,w44817,,,
alb,trn,lgw,2024-02-11 06:15:00,torino,londra,regno unito,1,1,1,0,passaporto,f,18-30,singola tratta,british airways,ba2594,,,
alb,fco,tia,2024-02-03 15:45:00,roma,tirana,albania,5,12,12,14,carta d'identità,m,61+,singola tratta,ita airways,az0585,,,
alb,cta,tia,2024-01-15 16:35:00,catania,tirana,albania,7,14,14,1,passaporto,m,31-45,singola tratta,wizz air malta,w46688,fermato,,
alb,cta,lgw,2024-02-20 07:30:00,catania,londra,regno unito,7,1,1,0,,f,31-45,singola tratta,easyjet,u28285,ok,,
alb,mxp,lrm,2024-02-10 19:10:00,milano,la romana,repubblica dominicana,2,1,1,2,visto,f,46-60,singola tratta,neos s.p.a.,no0631,ok,,
alb,bgy,tia,2024-01-08 08:25:00,bergamo,tirana,albania,2,113,113,17,,m,46-60,singola tratta,ryanair dac,fr8350,,,
alb,fco,ewr,2024-01-18 21:10:00,roma,newark,stati uniti,5,1,1,6,permesso di soggiorno,m,46-60,singola tratta,turkish airlines,tk1361,ok,,
alb,mxp,dar,2024-02-07 00:05:00,milano,dar es salaam,tanzania,2,1,1,1,visto,m,61+,singola tratta,ethiopian airlines,et0736,in attesa,,
alb,fco,tia,2024-02-22 05:35:00,roma,tirana,albania,5,22,0,0,,m,46-60,singola tratta,ita airways,az0507,ok,,
alb,fco,tun,2024-01-07 11:25:00,roma,tunis,tunisia,5,1,1,1,,f,,singola tratta,ita airways,az0863,segnalato,,
alb,mxp,nav,2024-01-04 08:40:00,milano,nevsehir,turchia,2,1,2,1,carta d'identità,f,,singola tratta,turkish airlines,tk1873,in attesa,,
afg,bgy,kbl,2024-02-05 18:00:00,bergamo,kabul,afghanistan,2,2,2,1,visto,m,31-45,singola tratta,fly dubai,fz1571,ok,,
alb,tsf,tia,2024-02-23 00:00:00,treviso,tirana,albania,4,88,88,10,,,,singola tratta,wizz air malta,w44809,respinto,,
alb,fco,tia,2024-01-31 05:35:00,roma,tirana,albania,5,11,11,0,passaporto,f,18-30,singola tratta,ita airways,az0507,fermato,,
alb,mxp,hrg,2024-02-03 19:45:00,milano,hurghada,egitto,2,1,1,0,passaporto,f,31-45,singola tratta,easyjet europe,ec3894,respinto,,
alb,tsf,tia,2024-02-03 17:10:00,treviso,tirana,albania,4,92,92,14,,f,31-45,singola tratta,ryanair dac,fr8400,ok,,
alb,bds,tia,2024-02-09 20:50:00,brindisi,tirana,albania,9,16,16,1,permesso di soggiorno,f,18-30,singola tratta,wizz air malta,w4-4817,,,
alb,trn,tia,2024-02-04 19:55:00,torino,tirana,albania,1,59,59,10,visto,,,singola tratta,wizz air malta,w46661,in attesa,,
alb,fco,dar,2024-01-10 02:30:00,roma,dar es salaam,tanzania,5,1,0,0,,m,0-17,singola tratta,qatar airways,qr0115,,,
alb,lin,tia,2024-01-04 05:35:00,milano,tirana,albania,2,2,0,0,carta d'identità,m,18-30,singola tratta,ita airways,az0507,,,
alb,bgy,tia,2024-02-22 06:10:00,bergamo,tirana,albania,2,70,70,4,,m,46-60,singola tratta,wizz air malta,w43845,in attesa,,
alb,blq,tia,2024-01-18 11:30:00,bologna,tirana,albania,8,56,56,11,carta d'identità,m,61+,singola tratta,wizz air malta,w43877,ok,,
alb,mxp,ist,2024-02-19 08:40:00,milano,istanbul,turchia,2,1,1,0,visto,m,61+,singola tratta,turkish airlines,tk1873,in attesa,,
alb,mxp,tia,2024-01-15 19:45:00,milano,tirana,albania,2,99,99,20,,m,61+,singola tratta,wizz air malta,w46609,segnalato,,
alb,mxp,tia,2024-02-01 06:20:00,milano,tirana,albania,2,117,117,4,permesso di soggiorno,m,0-17,singola tratta,wizz air malta,w46607,respinto,,
alb,fco,jed,2024-02-07 15:35:00,roma,jeddah,arabia saudita,5,1,1,1,carta d'identità,f,18-30,singola tratta,qatar airways,qr0113,fermato,,
afg,trn,stn,2024-02-05 06:35:00,torino,londra,regno unito,1,1,1,1,permesso di soggiorno,,31-45,singola tratta,ryanair dac,fr0464,respinto,,
alb,tsf,tia,2024-01-09 15:25:00,treviso,tirana,albania,4,51,51,56,,f,18-30,singola tratta,wizz air malta,w44809,in attesa,,
alb,suf,tia,2024-01-18 21:00:00,lamezia terme,tirana,albania,6,7,7,0,,m,0-17,singola tratta,wizz air malta,w44819,segnalato,,
afg,nap,kbl,2024-01-02 07:30:00,napoli,kabul,afghanistan,6,3,3,2,passaporto,f,61+,singola tratta,fly dubai,fz1681,,,
are,bgy,dxb,2024-02-24 18:00:00,bergamo,dubai,emirati arabi uniti,2,7,7,0,permesso di soggiorno,m,61+,singola tratta,fly dubai,fz1571,fermato,,
alb,fco,tia,2024-02-25 00:00:00,roma,tirana,albania,5,50,0,0,visto,f,,singola tratta,wizz air malta,w43887,segnalato,,
alb,bri,mba,2024-01-08 00:05:00,bari,mombasa,kenya,9,1,0,0,,f,18-30,singola tratta,ethiopian airlines,et0726,segnalato,,
alb,nap,ltn,2024-01-26 09:20:00,napoli,londra,regno unito,6,2,2,4,visto,m,18-30,singola tratta,ryanair dac,fr5455,fermato,,
alb,fco,saw,2024-02-11 10:40:00,roma,istanbul,turchia,5,1,1,1,,m,0-17,singola tratta,pegasus airlines,pc1223,,,
alb,mxp,prn,2024-02-27 21:10:00,milano,pristina,cossovo,2,5,5,1,,m,31-45,singola tratta,wizz air malta,w45554,,,
alb,bgy,tia,2024-01-31 06:10:00,bergamo,tirana,albania,2,36,36,2,,m,61+,singola tratta,wizz air malta,w43845,fermato,,
alb,fco,hkt,2024-01-16 13:05:00,roma,phuket,thailandia,5,1,1,1,passaporto,,61+,singola tratta,turkish airlines,tk1865,fermato,,
alb,bgy,tia,2024-01-24 12:25:00,bergamo,tirana,albania,2,43,43,6,passaporto,m,46-60,singola tratta,wizz air malta,w43885,,,
alb,mxp,lgw,2024-02-20 07:55:00,milano,londra,regno unito,2,5,5,0,,,18-30,singola tratta,wizz air malta,w45785,respinto,,
afg,vce,ist,2024-01-28 13:05:00,venezia,istanbul,turchia,4,1,1,1,,m,61+,singola tratta,turkish airlines,tk1871,in attesa,,r2
afg,fco,kbl,2024-01-31 02:30:00,roma,kabul,afghanistan,5,1,1,1,visto,f,0-17,singola tratta,qatar airways,qr0115,ok,,
alb,blq,skg,2024-02-05 13:00:00,bologna,thessaloniki,grecia,8,1,1,1,carta d'identità,m,61+,singola tratta,turkish airlines,tk1323,respinto,,
alb,bgy,tia,2024-01-23 20:30:00,bergamo,tirana,albania,2,100,100,16,permesso di soggiorno,m,18-30,singola tratta,ryanair dac,fr8356,,,
,mxp,ika,2024-01-20 00:00:00,milano,tehran,iran,2,1,1,0,,f,61+,singola tratta,qatar airways,qr0123,,,
,bgy,stn,2024-02-22 06:00:00,bergamo,londra,regno unito,2,1,1,1,,m,61+,singola tratta,ryanair dac,fr2696,fermato,,
alb,bri,tia,2024-02-07 11:35:00,bari,tirana,albania,9,47,47,7,,f,18-30,singola tratta,wizz air malta,w46601,,,
alb,bgy,stn,2024-01-19 11:30:00,bergamo,londra,regno unito,2,1,1,0,passaporto,,61+,singola tratta,ryanair dac,fr 2738,fermato,,
alb,mxp,sdu,2024-02-18 18:00:00,milano,rio de janeiro,brasile,2,1,1,0,carta d'identità,,,singola tratta,latam airlines brasil,jj8072,,,
afg,mxp,isb,2024-02-01 03:10:00,milano,islamabad,pakistan,2,1,1,1,passaporto,f,0-17,singola tratta,etihad airways,ey0081,fermato,,
alb,fco,tia,2024-01-31 20:45:00,roma,tirana,albania,5,22,22,3,,m,46-60,singola tratta,wizz air malta,w46691,,,
alb,mxp,tia,2024-01-30 20:15:00,milano,tirana,albania,2,54,54,14,,f,,singola tratta,wizz air malta,w46629,in attesa,,
alb,mxp,tia,2024-02-28 12:50:00,milano,tirana,albania,2,74,74,14,permesso di soggiorno,m,0-17,singola tratta,air albania,zb2003,ok,,
alb,tsf,tia,2024-02-22 15:30:00,treviso,tirana,albania,4,74,74,14,visto,,31-45,singola tratta,wizz air malta,w44809,in attesa,,
alb,fco,tia,2024-02-27 07:50:00,roma,tirana,albania,5,103,103,3,visto,f,46-60,singola tratta,wizz air malta,w46116,respinto,,
afg,fco,saw,2024-02-28 10:40:00,roma,istanbul,turchia,5,2,2,1,passaporto,m,,singola tratta,pegasus airlines,pc1223,fermato,,
alb,rmi,tia,2024-01-09 10:30:00,rimini,tirana,albania,8,119,119,20,,,31-45,singola tratta,wizz air malta,w43875,in attesa,,
alb,cta,tia,2024-01-11 11:50:00,catania,tirana,albania,7,89,90,10,permesso di soggiorno,,46-60,singola tratta,ryanair dac,fr8370,respinto,,
afg,vce,ist,2024-01-07 08:10:00,venezia,istanbul,turchia,4,1,1,1,,f,61+,singola tratta,turkish airlines,tk1867,,,
alb,fco,cai,2024-02-01 17:55:00,roma,cairo,egitto,5,1,1,0,passaporto,f,61+,singola tratta,ita airways,az0897,ok,,
alb,tsf,tia,2024-01-05 06:50:00,treviso,tirana,albania,4,107,107,12,,f,46-60,singola tratta,wizz air malta,w43851,,,
alb,mxp,dxb,2024-01-18 15:55:00,milano,dubai,emirati arabi uniti,2,1,1,0,,m,18-30,singola tratta,emirates,ek0091,,,
alb,fco,tia,2024-02-08 06:05:00,roma,tirana,albania,5,101,101,4,carta d'identità,m,0-17,singola tratta,wizz air malta,w43857,,,
alb,rmi,tia,2024-02-27 06:30:00,rimini,tirana,albania,8,88,91,13,,f,18-30,singola tratta,wizz air malta,w43875,in attesa,,
alb,fco,tgd,2024-01-26 10:20:00,roma,podgorica,montenegro,5,1,1,0,passaporto,f,46-60,singola tratta,air montenegro,4o-0330,fermato,,
afg,bgy,saw,2024-01-13 14:00:00,bergamo,istanbul,turchia,2,1,1,1,,f,61+,singola tratta,pegasus airlines,pc1213,respinto,,
,fco,lgw,2024-01-02 14:20:00,roma,londra,regno unito,5,,,,,f,18-30,singola tratta,easyjet,u26413,segnalato,,
alb,nap,stn,2024-01-23 19:05:00,napoli,londra,regno unito,6,1,1,1,,f,,singola tratta,ryanair dac,fr1832,fermato,,
alb,mxp,znz,2024-02-10 00:15:00,milano,zanzibar,tanzania,2,1,1,0,visto,m,31-45,singola tratta,ethiopian airlines,et0738,fermato,,
alb,mxp,stn,2024-02-26 08:15:00,milano,londra,regno unito,2,,,,,f,61+,singola tratta,ryanair dac,fr2759,,,
,cia,tia,2024-01-17 08:55:00,roma,tirana,albania,5,90,90,11,,f,0-17,singola tratta,ryanair dac,fr8360,ok,,
alb,trn,stn,2024-01-12 06:50:00,torino,londra,regno unito,1,1,1,0,visto,f,46-60,singola tratta,ryanair dac,fr0464,respinto,,
alb,nap,man,2024-01-08 08:50:00,napoli,manchester,regno unito,6,1,1,1,carta d'identità,f,61+,singola tratta,ryanair dac,fr6835,in attesa,,
alb,bgy,dxb,2024-02-17 18:00:00,bergamo,dubai,emirati arabi uniti,2,1,1,0,visto,f,46-60,singola tratta,fly dubai,fz1571,segnalato,,
alb,bri,tia,2024-01-04 11:35:00,bari,tirana,albania,9,71,71,11,,m,0-17,singola tratta,wizz air malta,w46601,ok,,
alb,mxp,jed,2024-01-16 19:40:00,milano,jeddah,arabia saudita,2,6,6,0,,m,18-30,singola tratta,wizz air malta,w45692,fermato,,
,psa,tia,2024-01-22 21:50:00,pisa,tirana,albania,8,105,105,24,,f,31-45,singola tratta,ryanair dac,fr8391,in attesa,,
alb,vce,skp,2024-01-23 12:55:00,venezia,skopie,macedonia,4,1,1,1,carta d'identità,m,18-30,singola tratta,wizz air hungary,w67751,,,
ago,cia,man,2024-02-29 00:00:00,roma,manchester,regno unito,5,1,1,0,,m,46-60,singola tratta,ryanair dac,fr3204,in attesa,,
alb,cta,tia,2024-02-04 08:20:00,catania,tirana,albania,7,54,54,8,,f,46-60,singola tratta,wizz air malta,w46605,,,
