OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR_allarmi,CITTA_PARTENZA_allarmi,PAESE_PART_allarmi,ZONA_allarmi,TOT,MOTIVO_ALLARME,note_operatore_allarmi,flag_rischio,NAZIONALITA,CITTA_ARR_tip,CITTA_PARTENZA_tip,PAESE_PART_tip,ZONA_tip,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore_tip,codice_rischio
viaggiatori investigati,blq,stn,2024-01-08 17:20:00,bologna,londra,regno unito,8.0,148.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,nap,stn,2024-01-08 17:25:00,napoli,londra,regno unito,6.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,cia,stn,2024-01-08 17:25:00,roma,londra,regno unito,5.0,2.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,nap,stn,2024-01-08 17:25:00,napoli,londra,regno unito,6.0,0.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,blq,ist,2024-01-08 17:35:00,bologna,istanbul,turchia,8.0,15.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,ewr,2024-01-08 17:40:00,roma,newark,stati uniti,5.0,,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,ewr,2024-01-08 17:40:00,roma,new york,stati uniti,5.0,279.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,cai,2024-01-08 17:55:00,roma,cairo,egitto,5.0,,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,blq,tia,2024-01-08 18:00:00,bologna,tirana,albania,8.0,21.0,,,,alb,bologna,tirana,albania,8.0,86.0,86.0,18.0,,f,0-17,singola tratta,air albania,zb2005,ok,,
voli disponibili,vce,stn,2024-01-08 18:00:00,venezia,londra,regno unito,4.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,dxb,2024-01-08 18:00:00,bergamo,dubai,emirati arabi uniti,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,tia,2024-01-08 18:00:00,bologna,tirana,albania,8.0,114.0,tsc,,,alb,bologna,tirana,albania,8.0,86.0,86.0,18.0,,f,0-17,singola tratta,air albania,zb2005,ok,,
viaggiatori con allarmi,vce,edi,2024-01-08 18:05:00,venezia,edinburgh,regno unito,4.0,3.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,ewr,2024-01-08 18:25:00,milano,newark,stati uniti,2.0,1.0,tsc,verifica richiesta,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,tlv,2024-01-08 18:50:00,roma,tel aviv yafo,israele,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,nap,ssh,2024-01-08 18:55:00,napoli,sharm el sheikh,egitto,6.0,179.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,lin,lcy,2024-01-08 19:05:00,milano,londra,regno unito,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,stn,2024-01-08 19:05:00,milano,londra,regno unito,2.0,1.0,tsc,,,alb,milano,londra,regno unito,2.0,2.0,2.0,0.0,passaporto,m,18-30,singola tratta,ryanair dac,fr8719,ok,,
viaggiatori con allarmi,fco,jfk,2024-01-08 19:35:00,roma,new york,stati uniti,5.0,,nsis,,,alb,roma,new york,stati uniti,5.0,2.0,2.0,0.0,carta d'identità,m,18-30,singola tratta,delta air lines,dl0182,in attesa,,
allarmi generati,mxp,jfk,2024-01-08 19:40:00,milano,new york,stati uniti,2.0,7.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,jfk,2024-01-08 19:40:00,milano,new york,stati uniti,2.0,274.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,jfk,2024-01-08 19:40:00,milano,new york,stati uniti,2.0,7.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,lgw,2024-01-08 19:45:00,milano,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,bri,tia,2024-01-08 20:05:00,bari,tirana,albania,9.0,1.0,sdi,,,alb,bari,tirana,albania,9.0,59.0,59.0,62.0,,m,46-60,singola tratta,wizz air malta,w46647,ok,,
allarmi chiusi,mxp,ist,2024-01-08 20:30:00,milano,istanbul,turchia,2.0,8.0,,,,,,,,,,,,,,,,,,,,
esito negativo,fco,ruh,2024-01-08 20:40:00,roma,riyadh,arabia saudita,5.0,5.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,jfk,2024-01-08 21:00:00,roma,new york,stati uniti,5.0,261.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,bds,tia,2024-01-08 21:00:00,brindisi,tirana,albania,9.0,1.0,,,,,brindisi,tirana,albania,9.0,54.0,54.0,8.0,visto,m,0-17,singola tratta,wizz air malta,w44817,ok,,
viaggiatori con allarmi,fco,ist,2024-01-08 21:10:00,roma,istanbul,turchia,5.0,18.0,tsc,,,afg,roma,istanbul,turchia,5.0,2.0,2.0,0.0,permesso di soggiorno,m,18-30,singola tratta,turkish airlines,tk1361,respinto,,
voli solo visualizzati,fco,lgw,2024-01-08 21:20:00,roma,londra,regno unito,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
allarmi chiusi,psa,tia,2024-01-08 21:50:00,pisa,tirana,albania,8.0,38.0,interpol,,,alb,pisa,tirana,albania,8.0,113.0,113.0,22.0,,m,0-17,singola tratta,ryanair dac,fr8391,ok,,
viaggiatori investigati,mxp,jfk,2024-01-08 22:20:00,milano,new york,stati uniti,2.0,277.0,interpol,,,alb,milano,new york,stati uniti,2.0,8.0,8.0,2.0,,f,0-17,singola tratta,emirates,ek0206,,,
voli solo visualizzati,fco,add,2024-01-08 22:50:00,roma,addis ababa,etiopia,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,ssh,2024-01-08 23:35:00,milano,sharm el sheikh,egitto,2.0,176.0,manuale,,,alb,milano,sharm el sheikh,egitto,2.0,4.0,4.0,2.0,passaporto,f,31-45,singola tratta,wizz air malta,w45608,,,
viaggiatori entrati,mxp,yyz,2024-01-08 23:45:00,milano,toronto,canada,2.0,301.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,ewr,2024-01-09 00:00:00,roma,newark,stati uniti,5.0,8.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,znz,2024-01-09 00:00:00,roma,zanzibar,tanzania,5.0,358.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,tia,2024-01-09 00:00:00,bergamo,tirana,albania,2.0,25.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,rmi,tia,2024-01-09 00:00:00,rimini,tirana,albania,8.0,27.0,nsis,,,,,,,,,,,,,,,,,,,
esito negativo,cta,auh,2024-01-09 00:00:00,catania,abu dhabi,emirati arabi uniti,7.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,psa,lgw,2024-01-09 00:00:00,pisa,londra,regno unito,8.0,1.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,doh,2024-01-09 00:00:00,milano,doha,qatar,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,add,2024-01-09 00:05:00,roma,addis ababa,etiopia,5.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,pek,2024-01-09 01:35:00,milano,pechino,cina,2.0,11.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,cia,stn,2024-01-09 06:00:00,roma,londra,regno unito,5.0,1.0,manuale,,,alb,roma,londra,regno unito,5.0,2.0,2.0,0.0,permesso di soggiorno,,46-60,singola tratta,ryanair dac,fr2455,respinto,,
voli disponibili,fco,tia,2024-01-09 06:10:00,roma,tirana,albania,5.0,1.0,sdi,,,alb,roma,tirana,albania,5.0,91.0,91.0,4.0,passaporto,,18-30,singola tratta,wizz air malta,w43857,respinto,,
altro,trn,tia,2024-01-09 06:55:00,torino,tirana,albania,1.0,1.0,nsis,,,alb,torino,tirana,albania,1.0,132.0,132.0,17.0,visto,m,46-60,singola tratta,wizz air malta,w46603,,,
voli disponibili,mxp,lgw,2024-01-09 07:05:00,milano,londra,regno unito,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,beg,2024-01-09 07:15:00,roma,belgrado,serbia,5.0,135.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,flr,tia,2024-01-09 07:20:00,firenze,tirana,albania,8.0,131.0,interpol,,,alb,firenze,tirana,albania,8.0,,,,permesso di soggiorno,m,31-45,singola tratta,albawings,2b0267,in attesa,,
allarmi generati,flr,tia,2024-01-09 07:20:00,firenze,tirana,albania,8.0,22.0,manuale,,,alb,firenze,tirana,albania,8.0,,,,permesso di soggiorno,m,31-45,singola tratta,albawings,2b0267,in attesa,,
voli solo visualizzati,mxp,tun,2024-01-09 07:45:00,milano,tunisi,tunisia,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli investigati,fco,tun,2024-01-09 07:55:00,roma,tunis,tunisia,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,vce,stn,2024-01-09 08:45:00,venezia,londra,regno unito,4.0,2.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,blq,dxb,2024-01-09 08:55:00,bologna,dubai,emirati arabi uniti,8.0,354.0,manuale,,,alb,bologna,dubai,emirati arabi uniti,8.0,1.0,1.0,0.0,passaporto,f,31-45,singola tratta,emirates,ek0093,,,
voli solo visualizzati,bgy,stn,2024-01-09 10:10:00,bergamo,londra,regno unito,2.0,1.0,interpol,,,alb,bergamo,londra,regno unito,2.0,2.0,2.0,0.0,,f,0-17,singola tratta,ryanair dac,fr2738,,,
viaggiatori entrati,bgy,saw,2024-01-09 10:35:00,bergamo,istanbul,turchia,2.0,191.0,sdi,,,,,,,,,,,,,,,,,,,
voli con allarmi,blq,cmn,2024-01-09 10:55:00,bologna,casablanca,marocco,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,blq,tia,2024-01-09 11:30:00,bologna,tirana,albania,8.0,1.0,nsis,,,alb,bologna,tirana,albania,8.0,129.0,129.0,134.0,visto,f,46-60,singola tratta,wizz air malta,w43877,in attesa,,
allarmi generati,bri,tia,2024-01-09 11:35:00,bari,tirana,albania,9.0,23.0,,,,alb,bari,tirana,albania,9.0,112.0,112.0,13.0,carta d'identità,m,61+,singola tratta,wizz air malta,w46601,ok,,
viaggiatori entrati,bgy,tia,2024-01-09 12:10:00,bergamo,tirana,albania,2.0,188.0,tsc,,,alb,bergamo,tirana,albania,2.0,113.0,113.0,24.0,passaporto,f,0-17,singola tratta,wizz air malta,w43885,,,
voli con allarmi,bgy,ssh,2024-01-09 12:10:00,bergamo,sharm el sheikh,egitto,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,pvg,2024-01-09 12:35:00,roma,shanghai,cina,5.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,cai,2024-01-09 12:50:00,milano,cairo,egitto,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,ciy,tia,2024-01-09 12:55:00,comiso,tirana,albania,7.0,121.0,,,,alb,comiso,tirana,albania,7.0,95.0,95.0,16.0,,m,31-45,singola tratta,wizz air malta,w46673,respinto,,
viaggiatori con allarmi,fco,cmn,2024-01-09 13:00:00,roma,casablanca,marocco,5.0,33.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,ist,2024-01-09 13:05:00,roma,istanbul,turchia,5.0,7.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,vce,ist,2024-01-09 13:05:00,venezia,istanbul,turchia,4.0,156.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,ist,2024-01-09 13:05:00,roma,istanbul,turchia,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli con allarmi,vrn,lgw,2024-01-09 13:10:00,verona,londra,regno unito,4.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
esito negativo,fco,pek,2024-01-09 13:25:00,roma,pechino,cina,5.0,25.0,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,stn,2024-01-09 13:40:00,milano,londra,regno unito,2.0,1.0,interpol,,,alb,milano,londra,regno unito,2.0,1.0,1.0,0.0,visto,f,46-60,singola tratta,ryanair dac,fr2759,segnalato,,
viaggiatori investigati,mxp,ssh,2024-01-09 14:05:00,milano,sharm el sheikh,egitto,2.0,226.0,tsc,,,alb,milano,sharm el sheikh,egitto,2.0,4.0,4.0,2.0,,m,31-45,singola tratta,easyjet europe,ec3892,respinto,,
viaggiatori investigati,fco,icn,2024-01-09 14:05:00,roma,seoul,corea del sud,5.0,292.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,auh,2024-01-09 14:40:00,roma,abu dhabi,emirati arabi uniti,5.0,,sdi,,,,,,,,,,,,,,,,,,,
esito negativo,psa,tia,2024-01-09 15:15:00,pisa,tirana,albania,8.0,33.0,manuale,,,alb,pisa,tirana,albania,8.0,112.0,112.0,22.0,permesso di soggiorno,f,,singola tratta,wizz air malta,w46649,fermato,,
allarmi generati,mxp,doh,2024-01-09 15:30:00,milano,doha,qatar,2.0,20.0,,,,,,,,,,,,,,,,,,,,
esito negativo,bri,tia,2024-01-09 16:50:00,bari,tirana,albania,9.0,21.0,,,,alb,bari,tirana,albania,9.0,106.0,106.0,15.0,passaporto,m,0-17,singola tratta,wizz air malta,w46647,segnalato,,
viaggiatori con allarmi,cta,ist,2024-01-09 17:55:00,catania,istanbul,turchia,7.0,13.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,bgy,ncl,2024-01-09 18:05:00,bergamo,newcastle,regno unito,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli con allarmi,trn,stn,2024-01-09 18:20:00,torino,londra,regno unito,1.0,1.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,lin,lhr,2024-01-09 18:30:00,milano,londra,regno unito,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,blq,tia,2024-01-09 18:40:00,bologna,tirana,albania,8.0,1.0,nsis,,,alb,bologna,tirana,albania,8.0,83.0,83.0,14.0,permesso di soggiorno,f,0-17,singola tratta,air albania,zb2005,in attesa,,
viaggiatori investigati,blq,tia,2024-01-09 18:40:00,bologna,tirana,albania,8.0,107.0,,,,alb,bologna,tirana,albania,8.0,83.0,83.0,14.0,permesso di soggiorno,f,0-17,singola tratta,air albania,zb2005,in attesa,,
voli investigati,nap,stn,2024-01-09 19:05:00,napoli,londra,regno unito,6.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,jfk,2024-01-09 19:40:00,milano,new york,stati uniti,2.0,7.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,mia,2024-01-09 19:50:00,roma,miami,stati uniti,5.0,,,,,alb,roma,miami,stati uniti,5.0,1.0,1.0,0.0,,,18-30,singola tratta,delta air lines,dl0230,,,
allarmi chiusi,fco,yyz,2024-01-09 20:00:00,roma,toronto,canada,5.0,6.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,atl,2024-01-09 20:10:00,roma,atlanta,stati uniti,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,gru,2024-01-09 20:40:00,roma,san paolo,brasile,5.0,,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,gru,2024-01-09 20:40:00,roma,san paolo,brasile,5.0,3.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,bgy,stn,2024-01-09 20:45:00,bergamo,londra,regno unito,2.0,97.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,prn,2024-01-09 21:10:00,milano,pristina,cossovo,2.0,267.0,nsis,,,alb,milano,pristina,cossovo,2.0,15.0,12.0,1.0,,m,46-60,singola tratta,wizz air malta,w45554,,,
voli investigati,psa,tia,2024-01-09 21:30:00,pisa,tirana,albania,8.0,1.0,,,,alb,pisa,tirana,albania,8.0,127.0,127.0,23.0,carta d'identità,f,46-60,singola tratta,ryanair dac,fr8391,,,
voli solo visualizzati,mxp,jfk,2024-01-09 22:20:00,milano,new york,stati uniti,2.0,1.0,,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,evn,2024-01-09 22:25:00,milano,yerevan,armenia,2.0,1.0,sdi,,,alb,milano,yerevan,armenia,2.0,1.0,1.0,0.0,visto,f,31-45,singola tratta,wizz air malta,w45568,fermato,,
viaggiatori entrati,mxp,tpe,2024-01-09 23:05:00,milano,taipei,taiwan,2.0,279.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,tpe,2024-01-09 23:25:00,roma,taipei,taiwan,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,tpe,2024-01-09 23:25:00,roma,taipei,taiwan,5.0,9.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,sin,2024-01-09 23:45:00,milano,singapore,singapore,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,ist,2024-01-10 00:00:00,milano,istanbul,turchia,2.0,1.0,tsc,,,,milano,istanbul,turchia,2.0,1.0,1.0,1.0,passaporto,m,61+,singola tratta,air serbia,ju0544,ok,,
voli solo visualizzati,blq,ist,2024-01-10 00:00:00,bologna,istanbul,turchia,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,nap,ist,2024-01-10 00:00:00,napoli,istanbul,turchia,6.0,105.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,fco,cai,2024-01-10 00:00:00,roma,cairo,egitto,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,trn,tia,2024-01-10 00:00:00,torino,tirana,albania,1.0,31.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,hgh,2024-01-10 00:55:00,roma,hangzhou,cina,5.0,238.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,bah,2024-01-10 01:40:00,roma,manama,bahrain,5.0,4.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,auh,2024-01-10 03:10:00,milano,abu dhabi,emirati arabi,2.0,30.0,nsis,,,,,,,,,,,,,,,,,,,
esito negativo,fco,del,2024-01-10 03:45:00,roma,nuova delhi,india,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,cai,2024-01-10 04:30:00,roma,il cairo,egitto,5.0,136.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,cia,stn,2024-01-10 06:15:00,roma,londra,regno unito,5.0,6.0,nsis,alert manuale,,,,,,,,,,,,,,,,,,
esito negativo,fco,lhr,2024-01-10 07:05:00,roma,londra,regno unito,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,lhr,2024-01-10 07:20:00,milano,londra,regno unito,2.0,79.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,trn,lgw,2024-01-10 07:35:00,torino,londra,regno unito,1.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
altro,mxp,tun,2024-01-10 07:45:00,milano,tunis,tunisia,2.0,130.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,kwi,2024-01-10 07:55:00,roma,kuwait city,kuwait,5.0,5.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,bgy,cmn,2024-01-10 08:00:00,bergamo,casablanca,marocco,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,nap,ist,2024-01-10 08:00:00,napoli,istanbul,turchia,6.0,,tsc,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,cia,stn,2024-01-10 08:05:00,roma,londra,regno unito,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,stn,2024-01-10 08:20:00,milano,londra,regno unito,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,ika,2024-01-10 08:50:00,milano,tehran,iran,2.0,1.0,tsc,,,afg,milano,tehran,iran,2.0,1.0,1.0,0.0,,f,61+,singola tratta,iran air,ir0751,,,
viaggiatori investigati,bgy,cai,2024-01-10 08:50:00,bergamo,cairo,egitto,2.0,143.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,cai,2024-01-10 08:50:00,bergamo,cairo,egitto,2.0,42.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,cia,tia,2024-01-10 08:55:00,roma,tirana,albania,5.0,1.0,interpol,,,alb,roma,tirana,albania,5.0,123.0,123.0,15.0,passaporto,m,18-30,singola tratta,ryanair dac,fr8360,in attesa,,
voli investigati,blq,dxb,2024-01-10 08:55:00,bologna,dubai,emirati arabi uniti,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,dxb,2024-01-10 08:55:00,roma,dubai,emirati arabi uniti,5.0,440.0,sdi,,,afg,roma,dubai,emirati arabi uniti,5.0,2.0,1.0,1.0,carta d'identità,m,31-45,singola tratta,turkish airlines,tk1861,respinto,,
esito negativo,blq,dxb,2024-01-10 08:55:00,bologna,dubai,emirati arabi uniti,8.0,28.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,blq,tia,2024-01-10 09:10:00,bologna,tirana,albania,8.0,1.0,interpol,,,alb,bologna,tirana,albania,8.0,138.0,141.0,20.0,,,31-45,singola tratta,ryanair dac,fr8399,fermato,,
viaggiatori entrati,fco,lgw,2024-01-10 09:20:00,roma,londra,regno unito,5.0,108.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,cai,2024-01-10 09:35:00,milano,il cairo,egitto,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,flr,lgw,2024-01-10 10:25:00,firenze,londra,regno unito,8.0,,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,nap,tia,2024-01-10 10:30:00,napoli,tirana,albania,6.0,1.0,manuale,,,alb,napoli,tirana,albania,6.0,121.0,121.0,18.0,,m,18-30,singola tratta,wizz air malta,w44825,in attesa,,
allarmi rilevanti,fco,saw,2024-01-10 11:20:00,roma,istanbul,turchia,5.0,1.0,interpol,,,afg,roma,istanbul,turchia,5.0,1.0,1.0,1.0,permesso di soggiorno,m,31-45,singola tratta,turkish airlines,tk7660,segnalato,,
voli con allarmi,fco,saw,2024-01-10 11:20:00,roma,istanbul,turchia,5.0,1.0,nsis,,,afg,roma,istanbul,turchia,5.0,1.0,1.0,1.0,permesso di soggiorno,m,31-45,singola tratta,turkish airlines,tk7660,segnalato,,
voli solo visualizzati,fco,tun,2024-01-10 11:25:00,roma,tunis,tunisia,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,blq,saw,2024-01-10 11:30:00,bologna,istanbul,turchia,8.0,106.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,bgy,saw,2024-01-10 11:40:00,bergamo,istanbul,turchia,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,stn,2024-01-10 11:55:00,bergamo,londra,regno unito,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,stn,2024-01-10 11:55:00,bergamo,londra,regno unito,2.0,2.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,lin,lhr,2024-01-10 12:00:00,milano,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,vrn,tia,2024-01-10 12:00:00,verona,tirana,albania,4.0,167.0,manuale,,,alb,verona,tirana,albania,4.0,137.0,137.0,16.0,permesso di soggiorno,f,18-30,singola tratta,wizz air malta,w43883,ok,,
voli investigati,psa,stn,2024-01-10 12:10:00,pisa,londra,regno unito,8.0,1.0,nsis,,,alb,pisa,londra,regno unito,8.0,1.0,1.0,0.0,,f,61+,singola tratta,ryanair dac,fr0584,ok,,
voli investigati,mxp,atq,2024-01-10 12:30:00,milano,amritsar,india,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,cmn,2024-01-10 13:00:00,roma,casablanca,marocco,5.0,32.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,cmn,2024-01-10 13:00:00,milano,casablanca,marocco,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,fco,cmn,2024-01-10 13:00:00,roma,casablanca,marocco,5.0,3.0,manuale,,,,,,,,,,,,,,,,,,,
voli investigati,nap,ssh,2024-01-10 13:05:00,napoli,sharm el sheikh,egitto,6.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,fco,pek,2024-01-10 13:25:00,roma,pechino,cina,5.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,cta,tia,2024-01-10 13:25:00,catania,tirana,albania,7.0,14.0,manuale,,,alb,catania,tirana,albania,7.0,71.0,71.0,12.0,passaporto,f,18-30,singola tratta,ryanair dac,fr8370,,,
viaggiatori entrati,mxp,lhr,2024-01-10 13:45:00,milano,londra,regno unito,2.0,68.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,stn,2024-01-10 13:55:00,milano,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,cta,stn,2024-01-10 14:35:00,catania,londra,regno unito,7.0,11.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,cta,stn,2024-01-10 14:35:00,catania,londra,regno unito,7.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,psa,rak,2024-01-10 15:00:00,pisa,marrakech,marocco,8.0,198.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,blq,tun,2024-01-10 15:00:00,bologna,tunis,tunisia,8.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,trs,beg,2024-01-10 15:30:00,trieste,belgrado,serbia,4.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,doh,2024-01-10 15:35:00,roma,doha,qatar,5.0,17.0,,,,,,,,,,,,,,,,,,,,
esito negativo,fco,gru,2024-01-10 15:45:00,roma,san paolo,brasile,5.0,4.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,sid,2024-01-10 16:15:00,roma,sal,capo verde,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,psa,tia,2024-01-10 16:30:00,pisa,tirana,albania,8.0,25.0,sdi,,,alb,pisa,tirana,albania,8.0,90.0,90.0,15.0,passaporto,,61+,singola tratta,air albania,zb2009,respinto,,
voli disponibili,vce,lhr,2024-01-10 17:00:00,venezia,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,pmo,ist,2024-01-10 17:05:00,palermo,istanbul,turchia,7.0,,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,fco,ewr,2024-01-10 17:40:00,roma,newark,stati uniti,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,tia,2024-01-10 17:50:00,milano,tirana,albania,2.0,1.0,sdi,,,alb,milano,tirana,albania,2.0,126.0,129.0,27.0,permesso di soggiorno,f,31-45,singola tratta,wizz air malta,w46629,respinto,,
